Mo Sold,Heating QC,SalePrice
5,Fa,215000
6,TA,105000
6,TA,172000
4,Ex,244000
3,Gd,189900
6,Ex,195500
4,Ex,213500
1,Ex,191500
3,Ex,236500
6,Gd,189000
4,Gd,175900
3,Ex,185000
5,Gd,180400
2,Gd,171500
6,TA,212000
6,Ex,538000
6,Gd,164000
6,Ex,394432
6,Ex,141000
2,TA,210000
1,Ex,190000
1,TA,170000
1,Ex,216000
3,Ex,149000
4,Ex,149900
7,Ex,142000
4,TA,126000
4,TA,115000
6,Ex,184000
2,TA,96000
3,TA,105500
3,TA,88000
7,TA,127500
6,TA,149900
6,Ex,120000
7,Fa,146000
1,Ex,376162
5,Ex,306000
4,Ex,395192
6,Ex,290941
5,Ex,220000
6,Ex,275000
2,Ex,259000
3,Ex,214000
3,Ex,611657
6,Ex,224000
6,Ex,500000
6,Ex,320000
2,Ex,319900
4,Ex,205000
6,Ex,175500
1,Ex,199500
1,Ex,160000
4,Ex,192000
6,Ex,184500
5,Ex,216500
4,Ex,185088
4,Ex,180000
5,Ex,222500
5,Ex,333168
1,Ex,355000
3,Ex,260400
4,Ex,325000
4,Ex,290000
6,Gd,221000
3,Ex,410000
5,Ex,221500
4,Ex,204500
6,Ex,215200
4,Ex,262500
5,Ex,254900
5,Ex,271500
1,Ex,233000
4,Ex,181000
5,Ex,205000
5,TA,143000
5,Ex,189000
4,TA,99500
2,TA,125000
2,Ex,194500
5,TA,152000
4,TA,171000
4,TA,67500
4,TA,112000
6,TA,148000
4,Ex,138500
2,TA,122000
6,Fa,133000
4,Ex,127000
4,Ex,169000
6,Ex,190000
6,Ex,362500
6,Ex,285000
3,Ex,260000
1,Ex,190000
4,Ex,155000
6,Ex,151000
2,Ex,149500
5,Ex,152000
6,Ex,222000
6,Ex,177500
5,Ex,177000
5,Ex,155000
6,Ex,147110
4,Ex,267916
4,Ex,254000
6,TA,155000
1,TA,206000
3,Ex,130500
4,Ex,230000
5,Gd,218500
3,Ex,243500
2,Gd,205000
4,TA,212500
3,TA,196500
3,TA,197500
6,TA,171000
4,TA,142250
6,TA,143000
1,Fa,128950
4,Gd,159000
4,Ex,178900
5,TA,136300
4,TA,180500
5,Ex,137500
1,TA,84900
4,Gd,142125
3,Gd,197600
1,TA,172500
2,Gd,116500
5,Ex,76500
2,TA,128000
3,Ex,153000
3,Gd,132000
1,Gd,178000
1,TA,154300
7,TA,180000
6,Ex,190000
3,TA,135000
2,Ex,214000
5,TA,136000
4,Gd,165500
6,TA,145000
4,TA,148000
5,Fa,142000
4,TA,167500
5,Fa,108538
6,Ex,159500
2,TA,108000
5,TA,135000
6,TA,122500
4,TA,119000
1,TA,109000
4,Gd,105000
4,Ex,107500
5,Gd,144900
5,Ex,129000
1,TA,97500
6,Gd,144000
3,Ex,162000
6,Ex,242000
5,TA,132000
5,Ex,154000
6,Fa,166000
5,TA,134800
2,TA,160000
6,Ex,148000
5,TA,192000
6,TA,155000
1,TA,80400
6,Gd,96500
5,TA,109500
3,Gd,115000
6,Gd,143000
5,Gd,107400
6,TA,80000
2,TA,119000
4,TA,130000
1,Gd,119000
6,Ex,129000
3,TA,100000
6,TA,12789
5,Gd,105900
4,TA,150000
6,TA,139000
4,Ex,240000
6,Fa,76500
4,TA,149700
6,Gd,125500
4,Gd,122500
6,Ex,140750
3,Ex,128500
5,TA,209500
4,TA,87000
4,TA,134000
3,Ex,128000
3,TA,132000
3,TA,139900
5,Gd,123900
3,TA,138400
3,TA,109500
4,Gd,140000
6,Ex,149500
5,Ex,159900
2,Ex,122000
5,TA,110000
7,Fa,55000
5,Gd,140000
6,Ex,244400
5,Gd,173000
1,Gd,107500
2,TA,100000
3,Ex,95000
3,TA,93369
6,Gd,114900
5,Gd,94000
5,TA,136000
4,TA,136500
4,Ex,131500
5,TA,121500
5,TA,125000
5,Ex,154000
6,Ex,137900
3,TA,158000
5,Ex,137250
5,TA,160250
3,Ex,163000
4,TA,158900
4,Ex,328000
4,Gd,270000
6,TA,85000
2,TA,128000
4,TA,260000
5,Ex,230000
6,TA,124000
5,Fa,83000
6,Ex,144500
